Rank,None,Player,ADP,Bye,Age,None,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,3D Value,DS Analysis
11,,"Ricky Pearsall
WR SF",2.04,9,24.0,,78.9,293,530,1005,30,"Pearsall was the leading receiver for Jayden Daniels at Arizona State in 2021 (48-580-4). He played his fourth and fifth college seasons at Florida, setting career highs in catches (65) and yards (965) this past fall. Pearsall brings adequate size at 6’1, 190 and tested as an excellent athlete at the NFL Combine. A surprise Round 1 pick, Pearsall likely needs one of Deebo Samuel or Brandon Aiyuk off the team to gain consistent fantasy value.... Continue Reading »"
12,,"Caleb Williams
QB CHI",1.05,7,22.8,,282.3,860,1460,2889,29,"Williams flashed big-time arm talent after taking over the starting gig at Oklahoma. He then followed HC Lincoln Riley to USC and dazzled with Mahomes-like ability en route to winning the 2022 Heisman. Williams took a step back in 2023. But consider the unreachable bar he set as a true sophomore – and a weakened supporting cast missing WR Jordan Addison. With three career runs of 45+ yards, Williams also brings the athleticism to tally fantasy... Continue Reading »"
13,,"Ja'Lynn Polk
WR NE",2.07,14,22.4,,95.4,288,491,982,29,"Polk broke out in his fourth college season, playing alongside top talents like QB Michael Penix Jr. and WR Rome Odunze. Polk’s not a burner but brings desirable size, ball skills, and contested-catch ability for an outside WR. He should land as a Round 2 or early Round 3 pick, even in a stacked WR class. Polk received solid draft capital (37th overall) and will mature alongside top pick Drake Maye. New England's depth chart affords immediate... Continue Reading »"
14,,"Xavier Legette
WR CAR",2.01,11,23.6,,78,271,514,1026,29,"You don’t come across many fifth-year breakouts. But that was the case for Legette, who turned 23 in January. Push that aside for a moment and consider the strength of his 2023 tape. Legette bullied DBs at 6’1, 219 pounds and proved effective post-catch. In fact, he tallied a monster 38.3% share of South Carolina’s team receiving yards. The 32nd overall pick, Legette won't hurt for opportunity in Carolina."
15,,"Jayden Daniels
QB WAS",1.12,14,23.7,,306.5,893,1447,2665,28,"Daniels has drawn comparisons to Lamar Jackson. Pop on some games, and it’s easy to see why. Slender at 6’4, 210 pounds, Daniels can operate inside and outside of the pocket. He’s a nightmare in the open field with 3,307 career rushing yards and 34 rushing TDs. His breakthrough as a passer came in 2023 – his fifth college season – but it was an exceptional, Heisman-winning campaign. Daniels carries QB1 upside right away in Washington."
16,,"Jalen McMillan
WR TB",4.01,11,22.7,,72.8,271,460,904,26,"McMillan emerged as an effective target at all three levels over the past two seasons. Injuries limited McMillan’s production in 2023, but he showed NFL potential with a 79-1,098-9 junior campaign alongside QB Michael Penix Jr. in 2022. The 22-year-old projects favorably as a vertical slot in Tampa Bay."
17,,"Adonai Mitchell
WR IND",2.03,14,21.9,,81.1,258,459,910,26,"Credit Mitchell for tallying 29-426-4 as a true freshman at Georgia (2021). After a quiet 2022, Mitchell transferred to Texas in 2023 to live close to family. What followed: A strong 55-845-11 line amid a loaded WR corps. Mitchell brings plus size and advanced route-running – ingredients for red-zone success with the Colts. Still, his overall profile screams boom/bust."
18,,"Jaylen Wright
RB MIA",2.08,6,21.4,,67,268,470,866,24,"Here’s one of the speediest RBs in the class. According to The Athletic’s Bruce Feldman, Wright hit a Tyreek Hill-like 23.6 MPH in practice. The third-year Volunteer averaged a ridiculous 7.4 yards per carry in 2023, with 19 of his 136 attempts going for 15+ yards (per PFF). He missed the Senior Bowl to rehab an undisclosed injury, but there's no lingering concern. He showed out at the Combine with a 4.38 forty time and a 38-inch vertical. Miami... Continue Reading »"
19,,"Jermaine Burton
WR CIN",3.01,12,23.2,,67,234,431,871,24,"Burton split his four-year college career between Georgia and Alabama, but his ability to flash sure hands and beat defenses deep never waned. Those traits shined brightest at Alabama in 2023. Consider his 68.4% catch rate, 20.5 yards per catch, and a 20.2-yard aDOT. Burton’s unlikely to become a high-volume target but should find a home as a field-stretcher. 2025 might be the breakout year, assuming Tee Higgins (contract) is off the roster."
20,,"Malachi Corley
WR NYJ",3.02,12,22.4,,81,247,413,805,22,"Corley has commonly drawn comparisons to Deebo Samuel, and it’s no mystery why. He’s built like a house and runs with purpose post-catch. There’s not much of a deep element to his game, but that doesn’t figure to limit his PPR potential in the pros."
21,,"Luke McCaffrey
WR WAS",3.03,14,23.4,,58,215,412,876,21,"A converted QB, McCaffrey has spent only two full seasons at WR. He produced at Rice during that stretch with over 1,700 yards and 19 TDs. He checks boxes for size and athleticism (9.56 RAS), while the tape shows a guy with developmental traits. McCaffrey was a surprise pick at 100th overall."
22,,"Roman Wilson
WR PIT",2.10,9,23.2,,74.9,236,395,766,20,"Wilson broke out as a senior on Michigan’s run-heavy offense (48-789-12). He accounted for 50% of the team’s receiving scores. Wilson went on to flaunt a smooth blend of speed, route-running, and body control at Senior Bowl practices. Pittsburgh invested a Round 3 pick in him as they look to replace a key offseason departure in Diontae Johnson."
23,,"Blake Corum
RB LAR",2.02,6,23.8,,90.3,256,409,713,20,"Corum was integral to Michgan’s success over the past two seasons, totaling 2,708 rushing yards and 45 TDs. A torn meniscus and an MCL sprain ended his 2022 prematurely, but he rebounded for a healthy 2023. The issue: Corum’s advanced rushing metrics declined sharply, while his raw production got a boost from his elite O-line. Ultimately, Corum’s compact running style should find a role with the Rams. Just note that he’ll be older for a rookie... Continue Reading »"
24,,"Mar'Keise “Bucky” Irving
RB TB",3.05,11,22.0,,76.9,249,411,751,20,"Irving performed as one of the most elusive RBs in this class. From 2022 to 2023, he forced a missed tackle every 2.5 carries – a terrific mark. He’s undersized at 5’9, 192 pounds, and pass protection limitations could limit his snaps early on. Irving also bombed at the Combine, registering an ugly 3.71 Relative Athletic Score. The Bucs provide a fine landing spot, though, at least for an immediate part-time role."
25,,"MarShawn Lloyd
RB GB",2.09,10,23.6,,74.2,260,427,681,20,"Lloyd’s college career began at South Carolina with a 2020 ACL tear. A quiet two-year stretch followed – then a move to USC. Last fall, he handled a 1A role alongside fifth-year senior Austin Jones (116 carries to 85). Lloyd displayed plus vision, acceleration, and open-field elusiveness en route to 7.1 yards per carry. He figures to play a small role in 2024 behind Josh Jacobs. But there's more predictable upside in 2025, when the Packers can... Continue Reading »"
26,,"Braelon Allen
RB NYJ",3.07,12,20.6,,69.5,220,405,785,19,"Allen’s size jumps off the tape: 6’2, 235 pounds. He averaged a robust 3.66 yards after contact per attempt for his college career – plus 5.9 yards per carry and 35 rushing scores. However, Allen didn’t show much as a pass-catcher and might max out as a two-down option. One silver lining: The former four-star prospect doesn’t turn 21 until January. That's good, because he landed with a Jets squad that's all set at RB."
27,,"Drake Maye
QB NE",2.12,14,22.0,,193.8,755,1288,2599,17,"Maye burst on the scene in 2022 with 4,321 passing yards, 38 TDs, and just 7 INTs. An ankle injury, an OC change, and losing go-to WR Josh Downs contributed to a relatively disappointing 2023. Still, Maye’s overall resume suggests he’s a future fantasy QB1. Well-built at 6’4, 230, he can make any throw on the field. Maye also ran for 1,147 yards and 16 TDs across his two starting campaigns. The situation in New England isn't great, but they have... Continue Reading »"
28,,"Audric Estime
RB DEN",3.12,14,21.0,,57.7,214,375,712,16,"Estime generated negative buzz with a 4.71-second 40 time at the Combine but improved to a 4.58 at his Pro Day. He also excelled in the vertical and broad jumps. At bottom: he’s not a bad athlete. Estime might never be a big factor in the passing game, but he could eventually develop into a lead runner for Denver."
29,,"Ben Sinnott
TE WAS",2.11,14,22.2,,54.2,177,330,645,16,"Sinnott, a former walk-on, played all over the formation for Kansas State. Beyond versatility, the 22-year-old moves well at 6’4, 245 pounds and excels as a tackle-breaker. In 2023, his 2.02 yards per route run ranked fifth among 32 TEs with 50+ targets (per PFF). He landed in Round 2 with a Commanders squad that lacks a long-term answer at TE."
30,,"Bo Nix
QB DEN",3.06,14,24.5,,249.2,746,1237,2305,14,"A former Gatorade Player of the Year in Alabama, Nix never developed across three seasons at Auburn. His game needed polish, but questionable coaching and a suspect supporting cast didn’t help. A complete turnaround followed after his transfer to Oregon, highlighted by a Heisman-quality 2023 (4,508 yards, 45 TDs, 3 INTs). Nix has the requisite arm talent and athleticism to make waves in fantasy. Just note that he’s older for a prospect (24).... Continue Reading »"
31,,"Kimani Vidal
RB LAC",3.08,5,23.0,,71.4,205,336,595,13,"Vidal is short but stout at 5’8, 215 pounds. He posted eye-popping production at Troy that includes 2,793 rushing yards and 24 TDs over the past two seasons. The agile back brings pass catching ability, too, making him a Day 3 pick to monitor in L.A."
32,,"J.J. McCarthy
QB MIN",2.06,6,21.6,,0,769,1321,2738,12,"McCarthy wasn’t asked to carry a Michigan squad led by a strong defense and run game. Still, the two-year starter flashed a power arm and the ability to execute pro-style concepts under HC Jim Harbaugh. McCarthy isn’t short on athletic traits, either. 2024 might be a developmental year, but the 21-year-old should have a real chance to emerge in fantasy by 2025. The Vikings supply a dream landing spot."
33,,"Ja'Tavion Sanders
TE CAR",3.04,11,21.4,,52,167,295,569,12,"A premier recruit out of high school, Sanders chose to stay in state at Texas. He entered the dynasty radar as a sophomore with 54-613-5 receiving. His size, athleticism, and receiving ability remind us of former Packer Jermichael Finley. However, Sanders fell to Round 4 of the draft, going as the TE4 in a thin class. Carolina at least looks ripe for immediate opportunity."
34,,"Ray Davis
RB BUF",3.11,12,24.8,,81.9,208,321,564,12,"Davis tallied back-to-back 1,000-yard rushing seasons -- one at Vanderbilt and one at Kentucky (2023). Last fall turned up his best work yet, including 3.81 yards after contact per attempt and a career-long 75-yarder on a sizable 73% carry share. Davis adds value in the receiving game. Stout and shifty, Davis should push for a rotational role with the Bills."
35,,"Javon Baker
WR NE",3.09,14,22.5,,46.2,157,313,708,12,"A former four-star recruit, Baker’s college career began at Alabama. His production didn’t take off until he transferred to UCF, where he racked up 108-1,935-12 over the last two seasons. Baker really emerged as a deep threat in 2023 (21.9 yards per catch, 17.1-yard aDOT). Drops are a minor concern here, but Baker’s college career shows a solid all-around game. Despite Round 4 draft capital, he should be able to compete for rookie-year snaps."
36,,"Michael Penix Jr.
QB ATL",3.10,12,24.3,,15.8,759,1284,2479,10,"Penix dealt with four season-ending injuries during his time at Indiana (two shoulder injuries and two ACL tears). Healthy at Washington over the past two years, Penix displayed effortless arm strength and excellent decision-making. He projects as an average QB rusher in the NFL. Already 24, the left-handed Penix landed with a Falcons squad that just handed Kirk Cousins $100 million guaranteed."
37,,"Devontez Walker
WR BAL",4.04,14,23.2,,42.1,147,286,595,9,"Walker was limited to 8 games in 2023 due to a battle with the NCAA over eligibility. The Kent State transfer eventually boosted his draft stock alongside QB Drake Maye, though. He led the Tar Heels in catches, yards, and TDs per game, showcasing an ability to win downfield. Walker’s skill set suggests additional upside in best ball formats. He'll look to push Rashod Bateman for snaps in 2024."
38,,"Troy Franklin
WR DEN",2.05,14,21.6,,41.9,130,261,596,8,"Franklin emerged as a true sophomore, tallying a 61-891-9 receiving line alongside potential first-round QB Bo Nix. Franklin’s production accelerated this past fall as he continued to show deep speed and advanced route-running at 6’2, 184 pounds (his pro day weigh-in). Consider the eye-popping efficiency of 3.32 yards per route run -- sixth best among 286 WRs with 50+ targets (per PFF). Once considered a top-50 pick, Franklin dipped to Round 4... Continue Reading »"
39,,"Tyrone Tracy Jr.
RB NYG",4.05,11,24.8,,65.1,165,255,448,6,"Tracy spent five years as a WR -- four at Iowa. In 2022, he transferred to Purdue and soon made strides as a tackle-dodging RB. He dominated the NFL Combine, showing plenty of straight-line speed and explosion for a 5’11, 209-pound back. His pass-catching adds PPR value, but his raw game might lead to a slow start in New York."
40,,"Will Shipley
RB PHI",4.03,5,22.0,,38.9,154,258,493,5,"Shipley packs an all-around game into a 5’11, 210-pound frame. His pass-catching ability should excite you for fantasy. He caught 84 balls for his career and averaged 7 yards after the catch per reception. Landing spot is a clear issue, though. Saquon Barkley's contract will likely keep him in Philly for at least two seasons."
41,,"Jacob Cowing
WR SF",5.04,9,23.6,,27.5,128,228,464,4,"Cowing boasts the dynamism you’d expect from a 5’10, 175-pound WR. Used as a deep threat at UTEP from 2019-2021, Cowing blossomed into a dangerous yards-after-catch threat at Arizona (2022-2023). His college career proved immensely productive (315-4,504-33), but Cowing’s size could limit his target potential in the NFL."
42,,"Theo Johnson
TE NYG",4.06,11,23.5,,41.4,133,226,420,3,"At 6’6, 257 pounds, with a wingspan north of 81 inches, Johnson has the physical characteristics of a mismatch TE. He wasn’t overly productive at Penn State (100 targets and 76-937-12 across four seasons), but his athleticism allows a chance at future fantasy contributions. He'll have a chance at a 2024 role following Darren Waller's retirement."
43,,"Malik Washington
WR MIA",4.08,6,23.6,,36.9,114,191,374,2,"Washington stands just 5’8, but he’s a sturdy 194 pounds. He broke out as a fifth-year player after transferring from Northwestern, delivering 111 receptions, 1,384 yards, and 9 TDs. That included an NCAA-best 10 games of 100+ yards. Washington is shifty, explosive, and consistent, which should help him separate from pro defenders. He also popped at the NFL Combine with a 42.5-inch vertical. He could quickly rise to the WR3 role in Miami."
44,,"Brenden Rice
WR LAC",4.02,5,22.4,,38.7,114,194,377,2,"The son of NFL legend Jerry Rice, Brenden’s stock rose alongside Caleb Williams over the past two years. His production peaked in 2023 with a massive 26.6% TD rate. Size, polish, and the ability to win downfield feature prominently on tape. Despite the positives, Rice dropped to Round 7 of the NFL draft, making him a fantasy longshot."
45,,"Rasheen Ali
RB BAL",5.01,14,23.5,,42.5,115,183,328,-1,"The Ravens used a Round 5 pick on Ali, who posted two years of major production at Marshall. He'll push for scraps left behind by Derrick Henry."
46,,"Johnny Wilson
WR PHI",5.11,5,22.4,,29,85,145,282,-2,"Wilson towers over DBs at nearly 6’7, 237 pounds. He broke out in 2022, although his production dipped in 2023 after the team welcomed in potential Round 1 WR Keon Coleman. Wilson must prove he can separate from NFL DBs, but there’s enough raw talent here to develop into a useful fantasy asset in time."
47,,"Dylan Laube
RB LVR",4.10,10,24.7,,36.5,96,149,264,-4,"Laube dominated at New Hampshire over the past two seasons, racking up over 3,000 total yards and 117(!) catches. Used all over the formation, Laube's versatility got him drafted in Round 6. There's an outside shot he gains fantasy value in 2024 given the Raiders' current depth chart."
48,,"Anthony Gould
WR IND",16.11,14,23.4,,24,71,120,226,-5,"Speed is Gould's calling card, and he showed it at the Combine with a 4.39 forty-time. He lacks play strength at 5'8, 174 pounds, however. And he tallied only 84 catches across five years at Oregon State. We're not banking on an impact fantasy role in the NFL."
49,,"Jamari Thrash
WR CLE",6.04,10,23.7,,24.1,71,118,219,-5,Thrash spent four years at Georgia State before transferring to Louisville. An immediate impact followed (62-848-6). The 23-year-old shows polish as a route-runner but needs to clean up the drops and improve in contested situations.
50,,"Erick All
TE CIN",5.05,12,24.0,,34.3,105,170,304,-5,"All is a smooth athlete at 6’5, 252 pounds. He spent four years at Michigan before transferring to Iowa, where he tore his right ACL last October. Before then, he turned heads with 21-299-3 in 7 games. He’s a name to watch come 2025."
51,,"Isaac Guerendo
RB SF",4.07,9,?,,19,75,126,223,-7,"Guerendo brings excellent long speed, and he showed it at the Combine with a 4.33 forty-time. He also jumped 41.5 inches and tallied a 10’9” broad jump – all at 221 pounds. Wild. Guerendo’s tape didn’t match the testing numbers, however. And it’s important to note that he was the 1B option this year behind projected late-round pick Jawhar Jordan (132 carries to 181). Despite a long, underwhelming college career, Guerendo’s rare athleticism is an... Continue Reading »"
52,,"Isaiah Davis
RB NYJ",6.03,12,22.5,,24,69,110,197,-8,"Davis has been among the most productive college RBs since 2022, posting 3,029 yards and 33 TDs on 485 carries. The lower level of competition surely helped, but his tape features a nice combo of power, patience, and vision. It's hard to put a positive spin on his landing spot, though. With the Jets, he'll compete with Braelon Allen and Israel Abanikanda for the No. 2 job behind Breece Hall."
53,,"Ryan Flournoy
WR DAL",5.06,7,24.8,,20.4,58,93,169,-8,"Flournoy delivered a strong Combine performance, translating to a 9.89 Relative Athletic Score. That followed a pair of productive seasons at SE Missouri State. While the Round 6 draft capital isn't great, there's room to crack the WR rotation behind CeeDee Lamb and Brandin Cooks."
54,,"AJ Barner
TE SEA",7.02,10,22.3,,27.2,82,150,292,-8,"Barner spent four years in college – three at Indiana, one at Michigan. Over the past three seasons, he managed just 64-610-5 in 37 games. He brings ideal size and strength but doesn’t stand out as a pure athlete. The 22-year-old is a developmental draft pick in Seattle."
55,,"Ainias Smith
WR PHI",6.02,5,23.2,,13.4,41,69,132,-10,"Smith spent five seasons at Texas A&M, including a 2022 cut short by a fractured left leg. Listed as a WR, he showed versatility by earning reps at RB – primarily in 2020 (43 attempts) – alongside Isaiah Spiller and Devon Achane. Smith’s college production never wowed, and he’s unlikely to become a high-volume target in the NFL. But he has the run-after-catch skill set to thrive in the slot – if he can stay healthy. Doctors discovered a stress... Continue Reading »"
56,,"Cade Stover
TE HOU",4.11,14,24.2,,25.7,78,127,228,-10,"A converted DL/LB, Stover transitioned to TE in 2020 but didn't see a prominent role until 2022. He flashed reliable hands and a well-rounded skill set on his way to 77-982-10 over the past two seasons. Stover will be a 24-year-old rookie, but the landing spot with C.J. Stroud is strong."
57,,"Isaiah Williams
WR DET",7.04,5,23.6,,11.4,34,57,107,-11,"Williams spent his first two seasons at QB before switching to WR under HC Bret Bielema. The result? A combined 164-1,798-10 receiving line over the past two years. The short-range slot was frequently utilized on quick-hitters, allowing his top-end burst to take over. The 23-year-old projects best in the slot at 5’10, 185 pounds."
58,,"Jawhar Jordan
RB HOU",6.11,14,25.0,,15.6,44,70,125,-12,"Jordan started at Syracuse, where he suffered a season-ending knee injury as a redshirt sophomore (2020). After a quiet 2021, Jordan displayed an impressive blend of speed and quickness over the next two seasons. Think of Ravens RB Keaton Mitchell, who also exited college with weight concerns. Houston supplies a nice spot for opportunity come 2025."
59,,"Frank Gore Jr.
RB BUF",4.09,12,22.5,,12.2,35,58,99,-13,"The son of an NFL legend, Gore led Southern Mississippi’s backfield in all four years on campus. He carries a stout 5’8, 201-pound frame and proved capable in all areas. However, he didn’t test at the NFL Combine and doesn’t boast plus speed on tape. He joined Buffalo as a UDFA with no guaranteed roster spot."
60,,"Tip Reiman
TE ARI",11.07,11,22.9,,20.7,66,113,210,-13,"Reiman looks like a base defensive end at 6'5, 271 pounds. The freakish athlete earned solid draft capital (Round 3) but will play behind Trey McBride for the foreseeable future."
61,,"Keilan Robinson
RB JAC",13.07,12,24.5,,15.3,41,64,100,-13,"Talented depth charts limited Robinson to 121 carries in four college seasons. The Jags' landing spot is alright, but Robinson figures to mainly contribute on special teams out of the gate."
62,,"Blake Watson
RB DEN",6.01,14,24.9,,16.4,42,61,93,-13,"Watson is a versatile RB with explosive traits and excellent production. He turns 25 in October, though, and went undrafted. He's a dynasty longshot."
63,,"Bub Means
WR NO",5.09,12,23.6,,19,26,29,37,-13,"Means projects as an NFL backup, but he at least beat his anticipated draft capital by going in Round 5. The 6'1, 212-pounder brings an underwhelming production profile to the Saints."
64,,"Cody Schrader
RB SF",6.10,9,23.9,,12.4,33,52,81,-14,"Schrader erupted for a massive 2023 (1,611-14 rushing; 21-192-0 receiving). But he lacks dynamic traits and tips the scales at just over 200 pounds. Schrader is likely maxed out as a real-life backup."
65,,"Daijun Edwards
RB PIT",16.07,9,23.4,,8.7,24,37,67,-15,"Edwards split carries in 2022 with current Seahawk Kenny McIntosh before seeing an increased role last fall. Edwards doesn’t win with size (5’10, 201) but sports NFL-quality burst and vision. He'll need at least one injury ahead of him to contribute in the near-term."
66,,"Jaheim Bell
TE NE",5.12,14,23.2,,16.2,52,88,164,-17,"Bell stands 6’2, 240 pounds, so he’s undersized for the TE position. He was an early breakout at South Carolina, though (30-497-5 as a sophomore). Bell also checks the box for athleticism, registering an 8.48 Relative Athletic Score at the NFL Combine. The Round 7 pick should earn a roster spot."
67,,"Tanner McLachlan
TE CIN",6.12,12,25.5,,13.6,35,56,97,-21,"The Bengals used a Round 6 pick on McLachlan, a 25-year-old rookie with ample size-adjusted athleticism. He didn't truly break out until 2023, though, while he has an ACL tear in his past. The Bengals do provide an intriguing fit."
68,,"Devin Culp
TE TB",14.10,11,24.5,,10.9,33,54,96,-22,"Culp ran a 4.43 forty time at 6'3, 231 pounds. If he can reduce his drops, he'll have a chance to stick around Tampa Bay's roster. He's a longshot to unseat Cade Otton, though."
69,,"Spencer Rattler
QB NO",5.03,12,23.9,,18.5,57,96,185,-57,"Rattler, a five-star high school recruit, lost his job to Caleb Williams at Oklahoma. Transferring to South Carolina, Rattler never delivered on the massive hype that followed him to Norman. Still, he flashed the arm talent and arm strength that excited evaluators just a few years ago. The NFL draft wasn't kind to Rattler, as he fell to Round 5. The landing spot in New Orleans at least affords some starting potential within a few seasons."
