Player,Pos,Team,College
"Colletto, Jack",RB,Pittsburgh,Oregon State
"Collier, Chris",RB,Baltimore,Lock Haven
"Collier, L.J.",DE,Arizona,Texas Christian
"Collins, Aviante",OT,Chicago,Texas Christian
"Collins, Chris",LB,LA Chargers,Minnesota
"Collins, Elijah",RB,Cincinnati,Oklahoma State
"Collins, La'el",OT,Buffalo,Louisiana State
"Collins, Maliek",DT,San Francisco,Nebraska
"Collins, Nico",WR,Houston,Michigan
"Collins, Zaven",LB,Arizona,Tulsa
"Colon-Castillo, Trystan",OG,Arizona,Missouri
"Colson, Junior",LB,LA Chargers,Michigan
"Cominsky, John",DE,Detroit,Charleston
"Conklin, Jack",OT,Cleveland,Michigan State
"Conklin, Tyler",TE,NY Jets,Central Michigan
"Conley, Chris",WR,San Francisco,Georgia
"Conner, Chamarri",DB,Kansas City,Virginia Tech
"Conner, James",RB,Arizona,Pittsburgh
"Conner, Snoop",RB,Dallas,Mississippi
"Conner, Tanner",TE,Miami,Idaho State
"Cook, Alex",DB,Carolina,Washington
"Cook, Bryan",DB,Kansas City,Cincinnati
"Cook, Dylan",OT,Pittsburgh,Montana
"Cook, James",RB,Buffalo,Georgia
"Cooke, Logan",P,Jacksonville,Mississippi State
"Cooks, Brandin",WR,Dallas,Oregon State
"Cooks, Elijah",WR,Jacksonville,San Jose State
"Cooper, Amari",WR,Cleveland,Alabama
"Cooper, Edgerrin",LB,Green Bay,Texas A&M
"Cooper, Jonathon",LB,Denver,Ohio State
"Cooper, Ryan",DB,Baltimore,Oregon State
"Copeland, Jacob",WR,Pittsburgh,Maryland
"Corbett, Austin",OG,Carolina,Nevada
"Corbin, Jashaun",RB,NY Giants,Florida State
"Corley, Malachi",WR,NY Jets,Western Kentucky
"Corum, Blake",RB,LA Rams,Michigan
"Cosmi, Samuel",OG,Washington,Texas
"Cota, Chase",WR,NY Giants,Oregon
"Cotton, Lester",OG,Miami,Alabama
"Couch, Te'Cory",DB,Buffalo,Miami
"Coughlin, Carter",LB,NY Giants,Minnesota
"Cousins, Kirk",QB,Atlanta,Michigan State
"Covey, Britain",WR,Philadelphia,Utah
"Cowart, Byron",DT,Chicago,Maryland
"Cowing, Jacob",WR,San Francisco,Arizona
"Cox, Brenton",LB,Green Bay,Florida
"Cox, Jabril",LB,Minnesota,Louisiana State
"Cox, Morgan",LS,Tennessee,Tennessee
"Coyle, Tyler",DB,Green Bay,Purdue
"Cracraft, River",WR,Miami,Washington State
"Crawford, Jeremiah",OT,Carolina,Tennessee
"Crooms, Corey",WR,Dallas,Minnesota
"Cropper, Jalen",WR,Dallas,Fresno State
"Crosby, Maxx",DE,Las Vegas,Eastern Michigan
"Cross, Charles",OT,Seattle,Mississippi State
"Cross, Nick",DB,Indianapolis,Maryland
"Crowder, Jamison",WR,Washington,Duke
"Cruikshank, Dane",DB,Atlanta,Arizona
"Crum, Frank",OT,Denver,Wyoming
"Crumedy, Jaden",DT,Carolina,Mississippi State
"Culp, Devin",TE,Tampa Bay,Washington
"Culpepper, Judge",DT,Tampa Bay,Toledo
"Cunningham, Malik",QB,Baltimore,Louisville
"Cupp, Baylor",TE,Kansas City,Texas Tech
"Curhan, Jake",OT,Chicago,California
"Curl, Kamren",DB,LA Rams,Arkansas
"Curtis, McClendon",OG,Seattle,Tennessee-Chattanooga
"Cushenberry, Lloyd",C,Tennessee,Louisiana State
